slug,type,author,title,series,number
eon-bear,book,Greg Bear,Eon,The Way,1
eternity-bear,book,Greg Bear,Eternity,The Way,2
legacy-bear,book,Greg Bear,Legacy,The Way,0
spqr-a-history-of-ancient-rome-beard,book,Mary Beard,SPQR: A History of Ancient Rome,,
war-chaos-and-history-praeger-security-international-beaumont,book,Roger Beaumont,"War, Chaos, and History (Praeger Security International)",,
appendix-n-the-eldritch-roots-of-dungeons-and-dragons-bebergal-ann-vandermeer,book,Peter Bebergal,Appendix N: The Eldritch Roots of Dungeons and Dragons,,
season-of-the-witch-how-the-occult-saved-rock-and-roll-bebergal,book,Peter Bebergal,Season of the Witch: How the Occult Saved Rock and Roll,,
genesis-beckett,book,Bernard Beckett,Genesis,,
manliness-civilization-a-cultural-history-of-gender-and-race-in-the-united-states-1880-1917-women-in-culture-and-society-bederman,book,Gail Bederman,"Manliness & Civilization: A Cultural History of Gender and Race in the United States, 1880-1917 (Women in Culture and Society)",,
d-day-the-battle-for-normandy-beevor,book,Antony Beevor,D-Day: The Battle for Normandy,,
stalingrad-the-fateful-siege-19421943-beevor,book,Antony Beevor,"Stalingrad: The Fateful Siege, 1942–1943",,
being-jewish-after-the-destruction-of-gaza-beinart,book,Peter Beinart,Being Jewish After the Destruction of Gaza: A Reckoning,,
condition-red-destroyer-action-in-the-south-pacific-bell,book,Frederick J. Bell,Condition Red: Destroyer Action in the South Pacific,,
kill-it-with-fire-manage-aging-computer-systems-and-future-proof-modern-ones-bellotti,book,Marianne Bellotti,Kill It with Fire: Manage Aging Computer Systems (and Future Proof Modern Ones),,
soviet-science-fiction-belyaev-isaac-asimov,book,Alexander Belyaev,Soviet Science Fiction,,
no-bone-unturned-the-adventures-of-a-top-smithsonian-forensic-scientist-and-the-legal-battle-for-americas-oldest-skeletons-benedict,book,Jeff Benedict,No Bone Unturned: The Adventures of a Top Smithsonian Forensic Scientist and the Legal Battle for America's Oldest Skeletons,,
city-of-thieves-benioff,book,David Benioff,City of Thieves,,
preparing-for-the-possibility-of-a-north-korean-collapse-bennett,book,Bruce W. Bennett,Preparing for the Possibility of a North Korean Collapse,,
a-drop-of-corruption-bennett,audiobook,Robert Jackson Bennett,A Drop of Corruption,Shadow of the Leviathan,2
city-of-blades-bennett,book,Robert Jackson Bennett,City of Blades,Divine Cities,2
city-of-miracles-bennett,book,Robert Jackson Bennett,City of Miracles,Divine Cities,3
city-of-stairs-bennett,book,Robert Jackson Bennett,City of Stairs,Divine Cities,1
foundryside-bennett,book,Robert Jackson Bennett,Foundryside,Foundryside,1
the-tainted-cup-bennett,book,Robert Jackson Bennett,The Tainted Cup,Shadow of the Leviathan,1
payments-systems-in-the-us-benson-scott-loftesness,book,Carol Coye Benson,Payments Systems in the U.S.,,
gangsters-vs-nazis-how-jewish-mobsters-battled-nazis-in-wartime-america-benson,book,Michael Benson,Gangsters vs. Nazis: How Jewish Mobsters Battled Nazis in Wartime America,,
dinosaurs-rediscovered-the-scientific-revolution-in-paleontology-the-rediscovered-series-benton,book,Michael J. Benton,Dinosaurs Rediscovered: The Scientific Revolution in Paleontology (The Rediscovered Series),,
a-more-beautiful-question-the-power-of-inquiry-to-spark-breakthrough-ideas-berger,book,Warren Berger,A More Beautiful Question: The Power of Inquiry to Spark Breakthrough Ideas,,
rise-and-kill-first-the-secret-history-of-israels-targeted-assassinations-bergman,book,Ronen Bergman,Rise and Kill First: The Secret History of Israel's Targeted Assassinations,,
perfect-spy-the-incredible-double-life-of-pham-xuan-an-time-magazine-reporter-and-vietnamese-communist-agent-berman,book,Larry Berman,Perfect Spy: The Incredible Double Life of Pham Xuan An - Time Magazine Reporter and Vietnamese Communist Agent,,
research-methods-in-anthropology-qualitative-and-quantitative-approaches-bernard,book,H. Russell Bernard,Research Methods in Anthropology: Qualitative and Quantitative Approaches,,
turings-vision-the-birth-of-computer-science-bernhardt,book,Chris Bernhardt,Turing's Vision: The Birth of Computer Science,,
the-demolished-man-bester-harry-harrison,book,Alfred Bester,The Demolished Man,,
zoo-city-beukes,book,Lauren Beukes,Zoo City,,
the-jakarta-method-washingtons-anticommunist-crusade-and-the-mass-murder-program-that-shaped-our-world-bevins,book,Vincent Bevins,The Jakarta Method: Washington's Anticommunist Crusade and the Mass Murder Program that Shaped Our World,,
the-ghost-army-of-world-war-ii-how-one-top-secret-unit-deceived-the-enemy-with-inflatable-tanks-sound-effects-and-other-audacious-fakery-beyer-elizabeth-sayles,book,Rick Beyer,"The Ghost Army of World War II: How One Top-Secret Unit Deceived the Enemy with Inflatable Tanks, Sound Effects, and Other Audacious Fakery",,
the-red-earth-a-vietnamese-memoir-of-life-on-a-colonial-rubber-plantation-volume-66-ohio-ris-southeast-asia-series-binh-john-spragens-jr,book,Tran Tu Binh,The Red Earth: A Vietnamese Memoir of Life on a Colonial Rubber Plantation (Volume 66) (Ohio RIS Southeast Asia Series),,
tithe-black,book,Holly Black,Tithe,,
operation-underworld-how-the-mafia-and-us-government-teamed-up-to-win-world-war-ii-black,book,Matthew Black,Operation Underworld: How the Mafia and U.S. Government Teamed Up to Win World War II,,
the-best-way-to-rob-a-bank-is-to-own-one-how-corporate-executives-and-politicians-looted-the-sl-industry-black,book,William K. Black,The Best Way to Rob a Bank Is to Own One: How Corporate Executives and Politicians Looted the S&L Industry,,
iraq-100-stories-from-a-century-after-the-invasion-blasim-hassan-abdulrazzak,book,Hassan Blasim,Iraq +100: stories from a century after the invasion,,
vietnam-if-kennedy-had-lived-virtual-jfk-blight-janet-m-lang,book,James G. Blight,Vietnam If Kennedy Had Lived: Virtual JFK,,
a-case-of-conscience-blish-greg-bear,book,James Blish,A Case of Conscience,,
five-star-science-fictionfantasy-in-this-world-or-another-blish,book,James Blish,"Five Star Science Fiction/Fantasy - In This World, or Another",,
the-burglar-in-the-library-block,book,Lawrence Block,The Burglar in the Library,Bernie Rhodenbarr,10
the-burglar-who-thought-he-was-bogart-block,book,Lawrence Block,The Burglar Who Thought He Was Bogart,Bernie Rhodenbarr,9
the-burglar-who-traded-ted-williams-block,book,Lawrence Block,The Burglar Who Traded Ted Williams,Bernie Rhodenbarr,7
the-sins-of-the-fathers-block,book,Lawrence Block,The Sins of the Fathers,,
the-nasaga-training-activity-book-blohm,book,Judith M. Blohm,The NASAGA Training Activity Book,,
the-weather-machine-a-journey-inside-the-forecast-blum,book,Andrew Blum,The Weather Machine: A Journey Inside the Forecast,,
blood-neon-blumenau-val,rpg,Adam Blumenau,Blood Neon,,
the-management-of-savagery-how-americas-national-security-state-fueled-the-rise-of-al-qaeda-isis-and-donald-trump-blumenthal,book,Max Blumenthal,"The Management of Savagery: How America's National Security State Fueled the Rise of Al Qaeda, ISIS, and Donald Trump",,
in-the-vanishers-palace-bodard,book,Aliette de Bodard,In the Vanishers’ Palace,,
on-a-red-station-drifting-bodard,book,Aliette de Bodard,"On a Red Station, Drifting",,
red-star-the-first-bolshevik-utopia-bogdanov-charles-rougle,book,Alexandr Bogdanov,Red Star: The First Bolshevik Utopia,,
alien-phenomenology-or-what-its-like-to-be-a-thing-posthumanities-bogost,book,Ian Bogost,"Alien Phenomenology, or What It’s Like to Be a Thing (Posthumanities)",,
distant-star-bolano-chris-andrews,book,Roberto Bolaño,Distant Star,,
growing-up-in-a-culture-of-respect-child-rearing-in-highland-peru-bolin,book,Inge Bolin,Growing Up in a Culture of Respect: Child Rearing in Highland Peru,,
the-savage-wars-of-peace-small-wars-and-the-rise-of-american-power-boot,book,Max Boot,The Savage Wars Of Peace: Small Wars And The Rise Of American Power,,
eat-more-comics-the-best-of-the-nib-bors-eleri-harris,book,Matt Bors,Eat More Comics: The Best of the Nib,,
justice-warriors-bors-ben-clarkson,book,Matt Bors,Justice Warriors,,
how-the-university-works-higher-education-and-the-low-wage-nation-cultural-front-bousquet-cary-nelson,book,Marc Bousquet,How the University Works: Higher Education and the Low-Wage Nation (Cultural Front),,
hue-1968-a-turning-point-of-the-american-war-in-vietnam-bowden,book,Mark Bowden,Huế  1968: A Turning Point of the American War in Vietnam,,
sorting-things-out-classification-and-its-consequences-bowker-susan-leigh-star,book,Geoffrey C. Bowker,Sorting Things Out: Classification and Its Consequences,,
stratofortress-the-story-of-the-b-52-bowman,book,Martin W. Bowman,Stratofortress: The Story of the B-52,,
eclipse-phase-the-roleplaying-game-of-transhuman-conspiracy-and-horror-eclipse-phase-1st-edition-boyle-lars-blumenstein,rpg,Rob Boyle,Eclipse Phase: The Roleplaying Game of Transhuman Conspiracy and Horror (Eclipse Phase 1st Edition),,
